year,h2_price_usd_per_kg,source,notes
2025,6.00,"IEA/IRENA 2024","Conservative estimate for early green H2 in Korea - CORRECTED from $12"
2026,5.65,"Interpolated","Linear interpolation"
2027,5.30,"Interpolated","Reflecting scale-up and learning effects"
2028,4.95,"Interpolated","Continued cost reduction"
2029,4.60,"Interpolated","Pre-2030 milestone"
2030,3.50,"IEA/IRENA 2024","Target for scaled green H2 production - CORRECTED from $10"
2031,3.40,"Interpolated","Mature technology phase begins"
2032,3.30,"Interpolated","Incremental improvements"
2033,3.20,"Interpolated","Market stabilization"
2034,3.10,"Interpolated","Cost floor approaching"
2035,3.00,"BloombergNEF 2024","Mid-century pathway"
2036,2.95,"Interpolated","Slower decline rate"
2037,2.90,"Interpolated","Approaching technical minimum"
2038,2.85,"Interpolated","Efficiency limits"
2039,2.80,"Interpolated","Near-optimal technology"
2040,2.75,"BNEF 2024","Long-term projection"
2041,2.70,"Interpolated","Minimal further reduction"
2042,2.65,"Interpolated","Stable mature technology"
2043,2.60,"Interpolated","Floor approaching"
2044,2.55,"Interpolated","Technology maturity"
2045,2.50,"Korea H2 Roadmap 2023","2045 target"
2046,2.45,"Interpolated","Near-floor"
2047,2.40,"Interpolated","Technical floor"
2048,2.35,"Interpolated","Stable"
2049,2.30,"Interpolated","Final decline"
2050,2.00,"Conservative estimate","Long-term floor - maintained from original"
